,grid,Area,LAT,LON,DEPTH,DIST2SHORE,DIST125,DIST1000,SST
55,3022262,100,44.48411195,-62.50517614,-146.6134033,32.08880615,10136.95034,174375.9289,15.33338746
56,3022466,68.268485,44.76159699,-67.02805997,-27.70672798,0.680602551,22099.04766,318599.9508,12.12119769
57,3022467,89.80067,44.75379352,-66.90226485,-77.12814331,4.726485252,14839.11064,312052.447,12.23183639
58,3022468,26.053627,44.74585429,-66.77649828,-10,0,11178.38625,305691.8894,12.54314734
59,3022469,100,44.73777925,-66.65076102,-91.60080719,5.423897743,1738.304766,299530.1868,12.65948623
60,3022470,100,44.72956836,-66.52505383,-156.0622864,14.99461651,4621.016443,293579.86,12.94198238
61,3022471,100,44.72122159,-66.39937747,-137.1275482,24.56225204,1207.239389,287854.0179,13.0905576
62,3022472,100,44.71273891,-66.27373271,-121.9215927,25.77389145,2562.922296,282366.3179,13.04538374
63,3022473,100,44.70412028,-66.14812029,-102.6769257,18.22405624,7676.224966,277114.4829,13.01833916
64,3022474,100,44.69536568,-66.02254098,-86.3345871,11.03656769,17306.82857,271119.2697,13.04796063
65,3022475,99.842856,44.68647507,-65.89699554,-37.313797,5.147506714,27078.767,265072.6194,13.10311177
66,3022476,96.586917,44.67744843,-65.77148473,-10,0,36835.43623,259269.5599,13.22524955
67,3022494,66.458837,44.4916922,-63.51907138,-10,1.455069542,23194.67633,194160.32,14.83175898
68,3022495,100,44.48007904,-63.39436155,-65.14503479,10.52452278,16786.87515,191453.6653,14.92070322
69,3022496,100,44.46832978,-63.26970134,-81.20890808,17.6670208,10392.30763,189040.0798,15.0470661
70,3022497,100,44.45644445,-63.14509149,-99.90492249,21.85555458,3207.190686,186334.2253,15.14086429
71,3022498,100,44.44442306,-63.02053274,-124.0866928,25.05769348,192.0126618,183274.4333,15.20427145
72,3022499,100,44.43226563,-62.89602583,-136.0391846,26.2734375,3965.26455,179693.0454,15.26877492
73,3022500,100,44.41997219,-62.77157149,-148.6426849,29.50278091,4081.165592,176605.9548,15.32752031
74,3022501,100,44.40754277,-62.64717046,-160.6389618,34.74572372,6333.430333,174039.4672,15.41654498
75,3022502,100,44.39497739,-62.52282347,-186.0289459,41.00226212,14098.00399,167412.9528,15.46444065
76,3022503,100,44.38227608,-62.39853124,-205.7346802,45.91926575,7767.267458,160234.0355,15.50321835
77,3022704,2.238784,44.68714591,-67.2901992,-10,0.03984018,28056.94278,322799.4406,12.05884633
78,3022705,53.079116,44.6796211,-67.16453796,-12.35239601,0,29261.24297,316789.3747,12.14531562
79,3022706,100,44.67196094,-67.03890373,-76.12110138,7.185269356,28885.95616,310980.4832,12.21868372
80,3022707,69.910938,44.66416539,-66.91329727,-75.08880615,1.985788822,22453.24924,304484.1096,12.3743277
81,3022708,60.158717,44.65623441,-66.78771933,-10,0,12949.83795,297962.035,12.54314734
82,3022709,100,44.64816796,-66.66217068,-55.06998825,2.510096312,3744.969995,291637.0619,12.74085771
83,3022710,100,44.639966,-66.53665207,-179.3493347,11.83479309,4700.638371,285522.2886,12.94024192
84,3022711,100,44.6316285,-66.41116426,-177.7088318,22,7751.510433,279631.5057,13.07007833
85,3022712,100,44.62315542,-66.285708,-134.6766052,19.82860184,4214.32711,273979.1605,13.04463541
86,3022713,100,44.61454674,-66.16028405,-103.469223,11.95467377,5258.923919,268580.3088,13.02679433
87,3022714,93.941272,44.60580241,-66.03489316,-40.86262131,4.07938385,14646.20331,263295.973,13.09153995
88,3022715,54.077559,44.59692242,-65.90953609,-10,0.179985151,24432.69764,257087.6011,13.20178834
89,3022729,94.465406,44.45834765,-64.1585091,-10,0.431796908,39284.83615,197881.4344,14.77764992
90,3022730,93.019149,44.44743086,-64.03374941,-12.00528526,4,33586.39423,194911.2289,14.76140521
91,3022731,100,44.43637825,-63.9090355,-42.17371368,5.862174511,28796.95802,192415.2827,14.77859014
92,3022732,96.459589,44.42518984,-63.78436813,-41.61560822,1.997600913,23027.85111,190345.4045,14.82692723
93,3022733,85.286921,44.41386562,-63.65974804,-34.11104965,2.113438129,17101.20578,187675.5338,14.85897281
94,3022734,100,44.40240561,-63.53517595,-51.29325867,7.241843224,14919.45264,184627.3945,14.93020578
95,3022735,100,44.39080984,-63.41065262,-90.40943146,14.18216228,9105.937242,181778.8523,15.06951694
96,3022736,100,44.3790783,-63.28617878,-109.6784821,22.88212204,3074.215779,179430.382,15.16252513
97,3022737,100,44.36721102,-63.16175516,-136.8914337,30.10338211,3224.399733,176657.8974,15.23228836
98,3022738,100,44.35520803,-63.03738249,-148.0505219,34.97919846,8815.713721,174071.7969,15.32824033
99,3022739,100,44.34306933,-62.91306151,-164.8646545,36.19306564,11638.22811,170299.6311,15.3913357
100,3022740,100,44.33079496,-62.78879296,-175.7059021,38.68151093,13957.34601,167039.0287,15.4633913
101,3022741,100,44.31838495,-62.66457755,-182.9647217,43.66150665,13853.81257,164323.188,15.51042015
102,3022742,100,44.30583931,-62.54041602,-195.0396118,48.37446594,7734.191976,160740.537,15.55476837
103,3022743,100,44.29315808,-62.4163091,-156.4172211,54.18419266,1101.776499,153280.057,15.58549649
104,3022744,100,44.2803413,-62.29225751,-119.0854187,59.4658699,438.2909189,146092.1908,15.59292919
105,3022942,56.453331,44.61211982,-67.55166396,-10,0.525537729,27378.40548,327184.8086,12.18447859
106,3022943,82.794973,44.6048722,-67.42613891,-1.333021402,0.889019489,21084.5671,320951.0667,12.1056921
107,3022944,95.781083,44.59748967,-67.30063935,-36.3802681,0.18709743,18080.6125,314911.5366,12.17934951
108,3022945,100,44.58997217,-67.17516604,-73.23452759,6.486178875,19898.16191,308778.6535,12.29137658
109,3022946,100,44.58231966,-67.04971972,-73.46292877,11.61350155,21786.79211,302820.5506,12.43787232
110,3022947,99.75765,44.5745321,-66.92430116,-53.63331223,4.046790123,20846.47335,296886.8423,12.5826278
111,3022948,100,44.56660944,-66.7989111,-10.9527216,3.230165958,16608.1191,290370.8282,12.73130199
112,3022949,100,44.55855164,-66.6735503,-54.1473999,6.093482018,7933.681237,283876.7673,12.86244806
113,3022950,100,44.55035868,-66.54821951,-151.3295898,13.8274765,1371.830697,277591.1034,12.98127335
114,3022951,100,44.54203051,-66.42291949,-179.1591187,22,11363.0243,271528.3086,13.02862594
115,3022952,100,44.5335671,-66.29765098,-145.9305573,14.1218071,4324.724185,265703.6392,13.03299915
116,3022953,99.146817,44.52496841,-66.17241474,-73.03731537,5.739131927,5358.878334,260133.0909,13.08099879
117,3022954,66.376124,44.51623443,-66.04721152,-10,0,15028.63588,254822.8685,13.21013537
118,3022969,100,44.36897528,-64.17363421,-4.809202194,3,32405.89835,188434.6424,14.77460484
119,3022970,100,44.35807423,-64.04906089,-32.33027649,8.692577362,25197.01864,185313.085,14.76744125
120,3022971,100,44.34703769,-63.92453326,-69.05909729,14.79623032,20456.13461,182686.2451,14.81597038
121,3022972,100,44.33586569,-63.80005203,-85.26274109,11.91343117,15584.82152,180521.8736,14.8849393
122,3022973,100,44.32455822,-63.67561796,-101.0771255,12.04417801,9431.135816,178125.662,14.94565311
123,3022974,100,44.3131153,-63.55123178,-90.18227386,15.18846989,4944.703539,175139.4264,15.04185315
124,3022975,100,44.30153695,-63.42689421,-85.51720428,21.15688324,6615.62895,172141.2094,15.15970291
125,3022976,100,44.28982317,-63.302606,-136.2168121,28.12393379,2393.206785,169672.8376,15.25808529
126,3022977,100,44.27797399,-63.17836787,-160.6185455,36.36581421,10571.39835,167019.7057,15.36297323
127,3022978,100,44.26598943,-63.05418055,-167.6517639,43.9010582,16644.26179,164559.636,15.51124044
128,3022979,100,44.2538695,-62.93004478,-183.1816101,46.11304855,21227.73759,160979.3102,15.59741705
129,3022980,100,44.24161424,-62.80596127,-211.2312927,48.33857727,20106.54745,157525.9065,15.64981547
